title,artist,mood,genre,valence,energy,lyrics
Blinding Lights,Chaos Unit,Happy,Metal,0.38,0.7,Sample lyrics for song 1 with mood happy.
Someone Like You,Metal Core,Happy,Instrumental,0.23,0.83,Sample lyrics for song 2 with mood happy.
Shape of You,Shadow Strings,Angry,EDM,0.48,0.79,Sample lyrics for song 3 with mood angry.
Let It Be,Relax Vibes,Calm,Folk,0.13,0.71,Sample lyrics for song 4 with mood calm.
Bohemian Rhapsody,Zen Group,Calm,EDM,0.2,0.4,Sample lyrics for song 5 with mood calm.
Stay With Me,Relax Vibes,Angry,Rock,0.5,0.31,Sample lyrics for song 6 with mood angry.
Lose Yourself,Relax Vibes,Happy,Classical,0.27,0.73,Sample lyrics for song 7 with mood happy.
Bad Guy,Cheer Crew,Happy,Folk,0.67,0.7,Sample lyrics for song 8 with mood happy.
Uptown Funk,Metal Core,Calm,Rock,0.53,0.83,Sample lyrics for song 9 with mood calm.
Counting Stars,Rock Rage,Happy,Dance,0.82,0.72,Sample lyrics for song 10 with mood happy.
Happier,Sunny Tunes,Happy,Indie,0.48,0.37,Sample lyrics for song 11 with mood happy.
Chandelier,Shadow Strings,Calm,EDM,0.56,0.74,Sample lyrics for song 12 with mood calm.
Photograph,Zen Group,Happy,Indie,0.16,0.82,Sample lyrics for song 13 with mood happy.
Shallow,Metal Core,Happy,Folk,0.22,0.35,Sample lyrics for song 14 with mood happy.
Perfect,Mind Ease,Sad,Instrumental,0.11,0.73,Sample lyrics for song 15 with mood sad.
Believer,Chaos Unit,Angry,EDM,0.6,0.53,Sample lyrics for song 16 with mood angry.
Halo,Night Soul,Sad,Lo-Fi,0.64,0.52,Sample lyrics for song 17 with mood sad.
Roar,Cheer Crew,Happy,EDM,0.51,0.53,Sample lyrics for song 18 with mood happy.
Rolling in the Deep,Zen Group,Calm,Ambient,0.74,0.57,Sample lyrics for song 19 with mood calm.
Despacito,Night Soul,Sad,Lo-Fi,0.64,0.63,Sample lyrics for song 20 with mood sad.
Imagine,Chaos Unit,Angry,Folk,0.72,0.62,Sample lyrics for song 21 with mood angry.
Thunder,Relax Vibes,Angry,Blues,0.46,0.32,Sample lyrics for song 22 with mood angry.
Senorita,Relax Vibes,Sad,Instrumental,0.6,0.69,Sample lyrics for song 23 with mood sad.
Love Yourself,Cheer Crew,Calm,Metal,0.25,0.61,Sample lyrics for song 24 with mood calm.
All of Me,Night Soul,Calm,Ambient,0.84,0.55,Sample lyrics for song 25 with mood calm.
Faded,Chaos Unit,Angry,Pop,0.16,0.94,Sample lyrics for song 26 with mood angry.
Stressed Out,Relax Vibes,Calm,Lo-Fi,0.83,0.61,Sample lyrics for song 27 with mood calm.
Thinking Out Loud,Relax Vibes,Sad,Rock,0.56,0.5,Sample lyrics for song 28 with mood sad.
Take Me to Church,Cheer Crew,Angry,Pop,0.6,0.81,Sample lyrics for song 29 with mood angry.
Levitating,Sunny Tunes,Happy,Instrumental,0.7,0.37,Sample lyrics for song 30 with mood happy.
Dance Monkey,Mind Ease,Happy,Indie,0.69,0.9,Sample lyrics for song 31 with mood happy.
Memories,Night Soul,Happy,Dance,0.79,0.82,Sample lyrics for song 32 with mood happy.
Sugar,Shadow Strings,Sad,Blues,0.6,0.72,Sample lyrics for song 33 with mood sad.
Blank Space,Shadow Strings,Sad,Blues,0.27,0.55,Sample lyrics for song 34 with mood sad.
Lovely,Mind Ease,Happy,Rock,0.23,0.25,Sample lyrics for song 35 with mood happy.
Drivers License,Lovely Band,Sad,Ambient,0.26,0.35,Sample lyrics for song 36 with mood sad.
Sunflower,Metal Core,Sad,Rock,0.27,0.76,Sample lyrics for song 37 with mood sad.
Say You Won’t Let Go,Night Soul,Angry,Classical,0.11,0.21,Sample lyrics for song 38 with mood angry.
Stay,Cheer Crew,Sad,Instrumental,0.43,0.37,Sample lyrics for song 39 with mood sad.
Peaches,Lovely Band,Angry,Blues,0.8,0.41,Sample lyrics for song 40 with mood angry.
The Nights,Rock Rage,Angry,Metal,0.86,0.64,Sample lyrics for song 41 with mood angry.
Heat Waves,Chaos Unit,Sad,Classical,0.42,0.38,Sample lyrics for song 42 with mood sad.
Therefore I Am,Night Soul,Happy,Metal,0.32,0.64,Sample lyrics for song 43 with mood happy.
Good 4 U,Rock Rage,Happy,Classical,0.13,0.3,Sample lyrics for song 44 with mood happy.
Save Your Tears,Lovely Band,Happy,Ambient,0.39,0.56,Sample lyrics for song 45 with mood happy.
Industry Baby,Blue Echo,Angry,Blues,0.36,0.23,Sample lyrics for song 46 with mood angry.
As It Was,Cheer Crew,Sad,Folk,0.38,0.6,Sample lyrics for song 47 with mood sad.
Anti-Hero,Cheer Crew,Happy,Blues,0.77,0.48,Sample lyrics for song 48 with mood happy.
Calm Down,Relax Vibes,Happy,EDM,0.49,0.68,Sample lyrics for song 49 with mood happy.
Flowers,Lovely Band,Sad,Folk,0.28,0.65,Sample lyrics for song 50 with mood sad.
